"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US1SCCR0189","2020-03-03","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","   86",",,N",,,,,,,,
"US1SCCR0189","2020-03-04","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","   10",",,N",,,,,,,,
"US1SCCR0189","2020-03-05","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","  483",",,N",,,,,,,,
"US1SCCR0189","2020-03-06","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","  287",",,N",,,,,,,,
"US1SCCR0189","2020-03-07","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","    5",",,N",,,,,,,,
"US1SCCR0189","2020-03-08","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","    0",",,N",,,,,,,,
"US1SCCR0189","2020-03-09","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","    0",",,N",,,,,,,,
"US1SCCR0189","2020-03-11","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","    0",",,N",,,,,,,,
"US1SCCR0189","2020-03-12","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","   10",",,N",,,,,,,,
"US1SCCR0189","2020-03-13","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","    0",",,N",,,,,,,,
"US1SCCR0189","2020-03-14","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","    0",",,N",,,,,,,,
"US1SCCR0189","2020-03-15","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","    0",",,N",,,,,,,,
"US1SCCR0189","2020-03-16","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","    0",",,N",,,,,,,,
"US1SCCR0189","2020-03-17","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","    0",",,N",,,,,,,,
"US1SCCR0189","2020-03-18","32.6257","-80.12139","5.8","KIAWAH RIVER 3.5 W, SC US","    5",",,N",,,,,,,,
