"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00150752","1956-05-01","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-02","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-03","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-04","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-05","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-06","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-07","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-08","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-09","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-10","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-11","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-12","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-13","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-14","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-15","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-16","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-17","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-18","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-19","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-20","38.03333","-82.83333","207.0","BLAINE, KY US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00150752","1956-05-21","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,","    0",",,0","    0",",,0","  272",",,0",,,,,,,,,,,"  267",",,0,",,,,,,,,,,,,,,,,
"USC00150752","1956-05-22","38.03333","-82.83333","207.0","BLAINE, KY US","    8",",,0,0700","    0",",,0","    0",",,0","  311",",,0","  133",",,0",,,,,,,,,"  294",",,0,0700",,,"    1",",,0",,,,,,,,,,,,
"USC00150752","1956-05-23","38.03333","-82.83333","207.0","BLAINE, KY US","    5",",,0,0700","    0",",,0","    0",",,0","  294",",,0","  161",",,0",,,,,,,,,"  200",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-05-24","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,0700","    0",",,0","    0",",,0","  200",",,0","   22",",,0",,,,,,,,,"  161",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-05-25","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,0700","    0",",,0","    0",",,0","  244",",,0","   -6",",,0",,,,,,,,,"  228",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-05-26","38.03333","-82.83333","207.0","BLAINE, KY US","    8",",,0,0700","    0",",,0","    0",",,0","  228",",,0","   67",",,0",,,,,,,,,"  178",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-05-27","38.03333","-82.83333","207.0","BLAINE, KY US","   18",",,0,0700","    0",",,0","    0",",,0","  217",",,0","  161",",,0",,,,,,,,,"  200",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-05-28","38.03333","-82.83333","207.0","BLAINE, KY US","  320",",,0,0700","    0",",,0","    0",",,0","  244",",,0","  167",",,0",,,,,,,,,"  244",",,0,0700",,,"    1",",,0",,,,,,,,,,,,
"USC00150752","1956-05-29","38.03333","-82.83333","207.0","BLAINE, KY US","   15",",,0,0700","    0",",,0","    0",",,0","  294",",,0","  156",",,0",,,,,,,,,"  222",",,0,0700",,,"    1",",,0",,,,,,,,,,,,
"USC00150752","1956-05-30","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,0700","    0",",,0","    0",",,0","  294",",,0","  150",",,0",,,,,,,,,"  261",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-05-31","38.03333","-82.83333","207.0","BLAINE, KY US","   41",",,0,0700","    0",",,0","    0",",,0","  300",",,0","  167",",,0",,,,,,,,,"  217",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-06-01","38.03333","-82.83333","207.0","BLAINE, KY US","   89",",,0,0700","    0",",,0","    0",",,0","  211",",,0","  150",",,0",,,,,,,,,"  167",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-06-02","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,0700","    0",",,0","    0",",,0","  167",",,0","   94",",,0",,,,,,,,,"  100",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-06-03","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,0700","    0",",,0","    0",",,0","  156",",,0","   89",",,0",,,,,,,,,"  144",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-06-04","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,0700","    0",",,0","    0",",,0","  239",",,0","   50",",,0",,,,,,,,,"  194",",,0,0700","    1",",,0",,,,,,,,,,,,,,
"USC00150752","1956-06-05","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,0700","    0",",,0","    0",",,0","  267",",,0","   56",",,0",,,,,,,,,"  217",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-06-06","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,0700","    0",",,0","    0",",,0","  267",",,0","   94",",,0",,,,,,,,,"  256",",,0,0700","    1",",,0",,,,,,,,,,,,,,
"USC00150752","1956-06-07","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,0700","    0",",,0","    0",",,0","  289",",,0","   94",",,0",,,,,,,,,"  244",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-06-08","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,0700","    0",",,0","    0",",,0","  283",",,0","  106",",,0",,,,,,,,,"  256",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-06-09","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,0700","    0",",,0","    0",",,0","  283",",,0","  150",",,0",,,,,,,,,"  267",",,0,0700","    1",",,0",,,,,,,,,,,,,,
"USC00150752","1956-06-10","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,0700","    0",",,0","    0",",,0","  306",",,0","  133",",,0",,,,,,,,,"  256",",,0,0700",,,,,,,,,,,,,,,,
"USC00150752","1956-06-11","38.03333","-82.83333","207.0","BLAINE, KY US","    0",",,0,0700","    0",",,0","    0",",,0","  311",",,0","  133",",,0",,,,,,,,,"  283",",,0,0700",,,,,,,,,,,,,,,,
