"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXMNG117","2023-10-17","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-10-18","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-10-19","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-10-20","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-10-21","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-10-22","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-10-23","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    5",",,N",,
"US1TXMNG117","2023-10-24","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-10-25","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-10-26","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","   79",",,N",,
"US1TXMNG117","2023-10-27","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","  351",",,N",,
"US1TXMNG117","2023-10-28","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    8",",,N",,
"US1TXMNG117","2023-10-29","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-10-30","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N",,
"US1TXMNG117","2023-10-31","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","   94",",,N",,
"US1TXMNG117","2023-11-01","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N",,
"US1TXMNG117","2023-11-02","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-11-03","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-11-04","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-11-05","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-11-06","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-11-07","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-11-08","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N","    0",",,N"
"US1TXMNG117","2023-11-09","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    0",",,N",,
"US1TXMNG117","2023-11-10","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","  422",",,N",,
"US1TXMNG117","2023-11-11","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","  150",",,N",,
"US1TXMNG117","2023-11-12","30.14998","-95.58345","45.1","MAGNOLIA 10.7 ESE, TX US","    5",",,N",,
