"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1NYWN0004","2008-09-26","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-09-27","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   20",",,N","    0",",,N",,,,
"US1NYWN0004","2008-09-28","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   71",",,N","    0",",,N",,,,
"US1NYWN0004","2008-09-29","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0","T,,N","    0",",,N",,,,
"US1NYWN0004","2008-09-30","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-01","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   71",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-02","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","  516",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-03","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","  175",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-04","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","  163",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-05","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0","T,,N","    0",",,N",,,,
"US1NYWN0004","2008-10-06","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   58",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-07","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-08","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-09","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   66",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-10","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-11","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-12","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-13","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-14","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-15","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-16","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","  213",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-17","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   53",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-18","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-19","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-20","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-21","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   97",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-22","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","  168",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-23","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   18",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-24","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-25","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   61",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-26","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","  312",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-27","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   28",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-28","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","  157",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-29","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   86",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-30","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-10-31","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-01","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-02","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-03","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-04","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-05","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-06","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-07","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    0",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-08","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   69",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-09","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   30",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-10","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   23",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-11","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    8",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-12","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   43",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-13","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","    5",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-14","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   15",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-15","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   36",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-16","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","  132",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-17","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   38",",,N","    0",",,N",,,,
"US1NYWN0004","2008-11-18","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   97",",,N","  107",",,N","  102",",,N",,
"US1NYWN0004","2008-11-19","43.291168","-76.80621","95.1","WOLCOTT 4.8 N, NY US","   46",",,N","    0",",,N",,,,
