"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00063803","2017-09-26","33.97972","-83.96333","323.4","LAWRENCEVILLE GWINNET CO BRISCOE FIELD AIRPORT, GA US","    0",",,W",,,,,"  311",",,W","  167",",,W","    6",",,W"," 1221",",,W","  330",",,W","   10",",,W","   40",",,W","   54",",,W",,,,,,,,
"USW00063803","2017-09-27","33.97972","-83.96333","323.4","LAWRENCEVILLE GWINNET CO BRISCOE FIELD AIRPORT, GA US","    0",",,W",,,,,"  328",",,W","  178",",,W","   12",",,W"," 1359",",,W","  320",",,W","  320",",,W","   54",",,W","   54",",,W","    1",",,W",,,,,,
"USW00063803","2017-09-28","33.97972","-83.96333","323.4","LAWRENCEVILLE GWINNET CO BRISCOE FIELD AIRPORT, GA US","    0",",,W",,,,,"  328",",,W","  178",",,W","    4",",,W"," 1128",",,W","  100",",,W","  120",",,W","   31",",,W","   40",",,W","    1",",,W",,,,,,
"USW00063803","2017-09-29","33.97972","-83.96333","323.4","LAWRENCEVILLE GWINNET CO BRISCOE FIELD AIRPORT, GA US","    0",",,W",,,,,"  300",",,W","  189",",,W","   19",",,W"," 0903",",,W","   80",",,W","   80",",,W","   63",",,W","   81",",,W",,,,,,,,
"USW00063803","2017-09-30","33.97972","-83.96333","323.4","LAWRENCEVILLE GWINNET CO BRISCOE FIELD AIRPORT, GA US","    0",",,W",,,,,"  272",",,W","  156",",,W","   31",",,W"," 0923",",,W","   60",",,W","   70",",,W","   81",",,W","  107",",,W",,,,,,,,
"USW00063803","2017-10-02","33.97972","-83.96333","323.4","LAWRENCEVILLE GWINNET CO BRISCOE FIELD AIRPORT, GA US","    0",",,W",,,,,"  250",",,W","  128",",,W","   38",",,W"," 1121",",,W","   80",",,W","   80",",,W","   76",",,W","  103",",,W",,,,,,,,
"USW00063803","2017-10-04","33.97972","-83.96333","323.4","LAWRENCEVILLE GWINNET CO BRISCOE FIELD AIRPORT, GA US","    0",",,W",,,,,"  267",",,W","  133",",,W","   28",",,W"," 1106",",,W","   80",",,W","   80",",,W","   72",",,W","   94",",,W",,,,,,,,
"USW00063803","2017-10-05","33.97972","-83.96333","323.4","LAWRENCEVILLE GWINNET CO BRISCOE FIELD AIRPORT, GA US","    0",",,W",,,,,"  272",",,W","  117",",,W","   17",",,W"," 1030",",,W","   80",",,W","   70",",,W","   58",",,W","   76",",,W",,,,,,,,
"USW00063803","2017-10-06","33.97972","-83.96333","323.4","LAWRENCEVILLE GWINNET CO BRISCOE FIELD AIRPORT, GA US","    0",",,W",,,,,"  283",",,W","  139",",,W","   22",",,W"," 1336",",,W","  120",",,W","   80",",,W","   58",",,W","   76",",,W",,,,,,,,
"USW00063803","2017-10-07","33.97972","-83.96333","323.4","LAWRENCEVILLE GWINNET CO BRISCOE FIELD AIRPORT, GA US","    0","T,,W",,,,,"  261",",,W","  211",",,W","   26",",,W"," 2336",",,W","   70",",,W","   90",",,W","   40",",,W","   54",",,W","    1",",,W",,,,,"    1",",,W"
