"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00136291","1935-01-01","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-02","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-03","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-04","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-05","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-06","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-07","43.45","-95.06667","427.0","ORLEANS, IA US","    0","T,,6","    0","T,,6",,,,,,,,,,
"USC00136291","1935-01-08","43.45","-95.06667","427.0","ORLEANS, IA US","    0","T,,6","    0","T,,6",,,,,,,,,,
"USC00136291","1935-01-09","43.45","-95.06667","427.0","ORLEANS, IA US","    0","T,,6","    0","T,,6",,,,,,,,,,
"USC00136291","1935-01-10","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-11","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-12","43.45","-95.06667","427.0","ORLEANS, IA US","  229",",,6","   18",",,6",,,,,,,,,,
"USC00136291","1935-01-13","43.45","-95.06667","427.0","ORLEANS, IA US","   25",",,6","   25",",,6",,,,,,,,,,
"USC00136291","1935-01-14","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-15","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-16","43.45","-95.06667","427.0","ORLEANS, IA US","   51",",,6","   25",",,6",,,,,,,,,,
"USC00136291","1935-01-17","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-18","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-19","43.45","-95.06667","427.0","ORLEANS, IA US","   25",",,6","   25",",,6",,,,,,,,,,
"USC00136291","1935-01-20","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-21","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-22","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-23","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-24","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-25","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-26","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-27","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-28","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-29","43.45","-95.06667","427.0","ORLEANS, IA US","    0","P,,6","    0",",,6",,,,,,,,,,
"USC00136291","1935-01-30","43.45","-95.06667","427.0","ORLEANS, IA US","    0","T,,6","    0","T,,6",,,,,,,,,,
