"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00111825","1944-12-01","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-02","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-03","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-04","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-05","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,"    1",",,6",,
"USC00111825","1944-12-06","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","   89",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-07","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-08","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","   51",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-09","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-10","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","  165",",,6","  152",",,6","  152",",,6",,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-11","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","   13",",,6","   25",",,6","  178",",,6",,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-12","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-13","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-14","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-15","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,
"USC00111825","1944-12-16","38.66667","-89.98333","171.0","COLLINSVILLE, IL US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,
