"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1MNRM0006","2009-04-21","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","    0","T,,N",,,,,,,,,,,,
"US1MNRM0006","2009-04-22","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MNRM0006","2009-04-23","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MNRM0006","2009-04-24","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MNRM0006","2009-04-25","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MNRM0006","2009-04-26","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","  180",",,N",,,,,,,,,,,,
"US1MNRM0006","2009-04-27","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","   30",",,N",,,,,,,,,,,,
"US1MNRM0006","2009-04-28","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MNRM0006","2009-04-29","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","    8",",,N",,,,,,,,,,,,
"US1MNRM0006","2009-04-30","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","   28",",,N",,,,,,,,,,,,
"US1MNRM0006","2009-05-01","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MNRM0006","2009-05-02","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MNRM0006","2009-05-03","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","    0",",,N","    0",",,N",,,,,,,,,,
"US1MNRM0006","2009-05-04","45.0438","-93.0232","282.9","WHITE BEAR LAKE 2.8 SSW, MN US","    0",",,N","    0",",,N",,,,,,,,,,
