"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1NELA0047","2018-03-01","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-02","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-03","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-04","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-05","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-06","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-07","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-08","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-09","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-10","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-11","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-12","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-13","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-14","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-15","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-16","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-17","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-18","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-19","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-20","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-21","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-22","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-23","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-24","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","   79",",,N",,,,,,,,
"US1NELA0047","2018-03-25","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-26","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","   51",",,N",,,,,,,,
"US1NELA0047","2018-03-27","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    8",",,N",,,,,,,,
"US1NELA0047","2018-03-28","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-29","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    5",",,N",,,,,,,,
"US1NELA0047","2018-03-30","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-03-31","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-01","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-02","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","   30",",,N",,,,,,,,
"US1NELA0047","2018-04-03","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-04","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-05","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-06","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-07","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","   13",",,N","   23",",,N",,,,,"   13",",,N"
"US1NELA0047","2018-04-08","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-09","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-10","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-11","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-12","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-13","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-14","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-15","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","   69",",,N",,,,,,,,
"US1NELA0047","2018-04-16","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-17","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-18","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-19","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-20","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-21","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-22","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    8",",,N",,,,,,,,
"US1NELA0047","2018-04-23","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-24","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-25","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","   46",",,N",,,,,,,,
"US1NELA0047","2018-04-26","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-27","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-28","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-29","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-04-30","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-05-01","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","    0",",,N","    0",",,N",,,,,,
"US1NELA0047","2018-05-02","40.722932","-96.621347","417.9","ROCA 5.0 NNE, NE US","   23",",,N",,,,,,,,
