"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES"
"USC00503165","2011-01-01","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","   30",",,7,0800","   61",",,7","  533",",,7,0800"," -211",",,7"," -278",",,7",,,,," -272",",,7,0800",,
"USC00503165","2011-01-02","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  508",",,7,0800"," -178",",,7"," -272",",,7",,,,," -178",",,7,0800",,
"USC00503165","2011-01-03","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  508",",,7,0800"," -178",",,7"," -200",",,7",,,,," -194",",,7,0800",,
"USC00503165","2011-01-04","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  533",",,7,0800","  -78",",,7"," -194",",,7",,,,,"  -83",",,7,0800",,
"USC00503165","2011-01-05","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  533",",,7,0800","  -83",",,7"," -161",",,7",,,,," -161",",,7,0800",,
"USC00503165","2011-01-06","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  533",",,7,0800"," -111",",,7"," -161",",,7",,,,," -117",",,7,0800",,
"USC00503165","2011-01-07","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  533",",,7,0800"," -117",",,7"," -144",",,7",,,,," -144",",,7,0800",,
"USC00503165","2011-01-08","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  533",",,7,0800"," -144",",,7"," -256",",,7",,,,," -250",",,7,0800",,
"USC00503165","2011-01-09","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  533",",,7,0800"," -167",",,7"," -250",",,7",,,,," -172",",,7,0800",,
"USC00503165","2011-01-11","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  533",",,7,0800",,,,,,,,," -283",",,7,0800",,
"USC00503165","2011-01-12","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  533",",,7,0800"," -272",",,7"," -344",",,7",,,,," -339",",,7,0800",,
"USC00503165","2011-01-14","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  508",",,7,0800"," -300",",,7"," -406",",,7",,,,," -400",",,7,0800",,
"USC00503165","2011-01-15","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  508",",,7,0800"," -372",",,7"," -400",",,7",,,,," -378",",,7,0800",,
"USC00503165","2011-01-16","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  508",",,7,0800"," -378",",,7"," -389",",,7",,,,," -383",",,7,0800",,
"USC00503165","2011-01-17","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  508",",,7,0800"," -378",",,7"," -428",",,7",,,,," -417",",,7,0800",,
"USC00503165","2011-01-18","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  508",",,7,0800"," -328",",,7"," -417",",,7",,,,," -406",",,7,0800",,
"USC00503165","2011-01-19","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  508",",,7,0800"," -378",",,7"," -428",",,7",,,,," -400",",,7,0800",,
"USC00503165","2011-01-20","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  508",",,7,0800"," -400",",,7"," -461",",,7",,,,," -461",",,7,0800",,
"USC00503165","2011-01-21","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  508",",,7,0800"," -433",",,7"," -489",",,7",,,,," -478",",,7,0800",,
"USC00503165","2011-01-22","66.56639","-145.26556","133.5","FORT YUKON NUMBER 2, AK US","    0",",,7,0800","    0",",,7","  508",",,7,0800"," -394",",,7"," -478",",,7",,,,," -400",",,7,0800",,
