"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00214692","2006-06-01","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-02","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-03","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-04","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-05","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-06","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-07","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-08","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-09","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-10","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-11","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-12","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-13","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-14","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US","   25",",,0,0700","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00214692","2006-06-15","44.8593","-94.0503","300.2","LESTER PRAIRIE 2 S, MN US",,,"    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
