"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"USC00307397","1948-05-01","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-02","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-03","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-04","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-05","42.18333","-78.71667","534.0","SALAMANCA, NY US","  175",",,0",,,,
"USC00307397","1948-05-06","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-07","42.18333","-78.71667","534.0","SALAMANCA, NY US","   51",",,0",,,,
"USC00307397","1948-05-08","42.18333","-78.71667","534.0","SALAMANCA, NY US","   15",",,0",,,,
"USC00307397","1948-05-09","42.18333","-78.71667","534.0","SALAMANCA, NY US","   30",",,0",,,,
"USC00307397","1948-05-10","42.18333","-78.71667","534.0","SALAMANCA, NY US","  117",",,0",,,,
"USC00307397","1948-05-11","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-12","42.18333","-78.71667","534.0","SALAMANCA, NY US","   15",",,0",,,,
"USC00307397","1948-05-13","42.18333","-78.71667","534.0","SALAMANCA, NY US","  165",",,0",,,,
"USC00307397","1948-05-14","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-15","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-16","42.18333","-78.71667","534.0","SALAMANCA, NY US","   84",",,0",,,,
"USC00307397","1948-05-17","42.18333","-78.71667","534.0","SALAMANCA, NY US","  107",",,0",,,,
"USC00307397","1948-05-18","42.18333","-78.71667","534.0","SALAMANCA, NY US","   56",",,0",,,,
"USC00307397","1948-05-19","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-20","42.18333","-78.71667","534.0","SALAMANCA, NY US","   30",",,0",,,,
"USC00307397","1948-05-21","42.18333","-78.71667","534.0","SALAMANCA, NY US","   46",",,0",,,,
"USC00307397","1948-05-22","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-23","42.18333","-78.71667","534.0","SALAMANCA, NY US","  254",",,0",,,,
"USC00307397","1948-05-24","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-25","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-26","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-27","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-28","42.18333","-78.71667","534.0","SALAMANCA, NY US","   64",",,0",,,,
"USC00307397","1948-05-29","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-30","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-05-31","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-06-01","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
"USC00307397","1948-06-04","42.18333","-78.71667","534.0","SALAMANCA, NY US","    0",",,0",,,,
