"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00263101","1904-02-01","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-02","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-03","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-04","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-05","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-06","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-07","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-08","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-09","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-10","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-11","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-12","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-13","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-14","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-15","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-16","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","   64",",,6,","    0","T,,6","    0",",,6","  128",",,6","   17",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-17","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0",",,6,","    0",",,6","    0",",,6","   44",",,6","  -22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-18","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0",",,6,","    0",",,6","    0",",,6","   56",",,6","  -28",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-19","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0",",,6,","    0",",,6","    0",",,6","  194",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-20","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0",",,6,","    0",",,6","    0",",,6","  122",",,6","   61",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-21","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","T,,6,","    0",",,6","    0",",,6","  128",",,6","   72",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-22","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","T,,6,","    0",",,6","    0",",,6","  178",",,6","  117",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-23","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","T,,6,","    0",",,6","    0",",,6","  128",",,6","   44",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-24","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0",",,6,","    0",",,6","    0",",,6","  178",",,6","   44",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-25","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0",",,6,","    0",",,6","    0",",,6","  161",",,6","   50",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-26","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0",",,6,","    0",",,6","    0",",,6","  156",",,6","    6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-27","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","P,,6,","    0",",,6",,,"  144",",,6","  -11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-28","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","   51",",,6,","   38",",,6","    0",",,6","   94",",,6","  -28",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-02-29","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0",",,6,","    0",",,6","    0",",,6","   72",",,6","  -83",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-03-01","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0",",,6,","    0",",,6","    0",",,6","  128",",,6","  -28",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-03-02","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0",",,6,","    0",",,6","    0",",,6","  172",",,6","   44",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-03-03","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0",",,6,","    0",",,6","    0",",,6","  178",",,6","  -44",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-03-04","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0","T,,6,","    0",",,6","    0",",,6","  167",",,6","  -11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00263101","1904-03-05","38.66833","-114.63611","1834.9","GEYSER RANCH, NV US","    0",",,6,","    0",",,6","    0",",,6","  100",",,6","  -78",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
