"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXWM0194","2014-06-19","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-06-22","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-06-23","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","   71",",,N","    0",",,N"
"US1TXWM0194","2014-06-24","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-06-26","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","  145",",,N",,
"US1TXWM0194","2014-06-27","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-06-28","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-06-29","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-06-30","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-07-01","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-07-02","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-07-03","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-07-04","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-07-05","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","   13",",,N",,
"US1TXWM0194","2014-07-06","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-07-07","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-07-09","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-07-10","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-07-11","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-07-12","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-07-13","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
"US1TXWM0194","2014-07-14","30.707406","-97.661766","219.8","GEORGETOWN 4.4 NNE, TX US","    0",",,N","    0",",,N"
