"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00167822","1941-08-01","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-02","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-03","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","  246",",,6",,,,
"USC00167822","1941-08-04","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-05","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","   10",",,6",,,,
"USC00167822","1941-08-06","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-07","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-08","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-09","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-10","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-11","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","  114",",,6",,,,
"USC00167822","1941-08-12","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-13","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-14","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-15","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-16","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-17","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-18","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-19","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","  112",",,6",,,,
"USC00167822","1941-08-20","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-21","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-22","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-23","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-24","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-25","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","  234",",,6",,,"    1",",,6"
"USC00167822","1941-08-26","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","   28",",,6",,,"    1",",,6"
"USC00167822","1941-08-27","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-28","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-29","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0","T,,6",,,,
"USC00167822","1941-08-30","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","    0",",,6",,,,
"USC00167822","1941-08-31","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","  178",",,6",,,,
"USC00167822","1941-09-01","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","  178",",,6",,,,
"USC00167822","1941-09-02","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","   51",",,6",,,,
"USC00167822","1941-09-03","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","  132",",,6",,,,
"USC00167822","1941-09-04","30.983333","-90.983333",,"RICHLAND HILL NEAR SOIL CONSERVATION SERVICE NUMBER 4, LA US","   46",",,6",,,,
