"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00501926","1971-01-28","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,,,,,,," -194",",,0",,,,,,,,,,,,,,,,,,
"USC00501926","1971-01-29","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US","    0","T,,0,","    3",",,0,","  152",",,0,"," -144",",,0"," -194",",,0",,,,,,,,,,,,,,,,,,
"USC00501926","1971-01-30","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US","    8",",,0,","   25",",,0,","  178",",,0,"," -139",",,0"," -172",",,0",,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-01","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-02","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-03","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-04","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-05","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-06","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-07","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-08","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-09","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-10","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-11","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-12","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-13","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-14","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-15","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-16","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-17","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-18","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
"USC00501926","1971-08-19","62.8255","-149.9061","412.7","CHULITNA RIVER, AK US",,,"    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,
