"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1NEBA0001","2013-07-28","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-07-29","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","   15",",,N",,,,
"US1NEBA0001","2013-07-31","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-01","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-02","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-03","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-04","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-05","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-06","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-07","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","  254",",,N",,,,
"US1NEBA0001","2013-08-08","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-09","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-10","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-11","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","   69",",,N",,,,
"US1NEBA0001","2013-08-12","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","   64",",,N",,,,
"US1NEBA0001","2013-08-14","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    5",",,N",,,,
"US1NEBA0001","2013-08-15","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-16","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-18","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-19","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-20","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-21","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-23","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-24","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-25","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-26","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
"US1NEBA0001","2013-08-27","41.539326","-103.36916","1285.6","BRIDGEPORT 16.5 WSW, NE US","    0",",,N","    0",",,N",,
