"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00045863","1948-10-01","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-02","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-03","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-04","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-05","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-06","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-07","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-08","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-09","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-10","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-11","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-12","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-13","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-14","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-15","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-16","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-17","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-18","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","  462",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-19","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-20","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-21","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-22","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-23","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-24","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-25","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-26","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-27","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-28","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-29","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-30","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-10-31","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    5",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-01","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-02","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-03","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-04","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-05","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-06","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-07","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-08","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-09","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-10","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-11","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-12","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-13","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-14","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-15","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-16","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-17","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-18","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-19","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-20","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-21","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-22","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-23","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-24","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-25","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
"USC00045863","1948-11-26","34.03333","-116.58333","780.9","MORONGO VALLEY, CA US","    0",",,0,0800","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,
