"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US1CODR0001","2004-01-30","37.8078","-109.0126","2023.9","DOVE CREEK 6.5 WNW, CO US","   56",",,N","  203",",,N","  152",",,N",,
"US1CODR0001","2004-02-04","37.8078","-109.0126","2023.9","DOVE CREEK 6.5 WNW, CO US","   69",",,N","  356",",,N","  508",",,N",,
"US1CODR0001","2004-02-21","37.8078","-109.0126","2023.9","DOVE CREEK 6.5 WNW, CO US","   86",",,N","  102",",,N","  305",",,N",,
"US1CODR0001","2004-02-22","37.8078","-109.0126","2023.9","DOVE CREEK 6.5 WNW, CO US","   64",",,N","  152",",,N","  457",",,N",,
"US1CODR0001","2004-02-23","37.8078","-109.0126","2023.9","DOVE CREEK 6.5 WNW, CO US","   15",",,N","   25",",,N","  356",",,N",,
"US1CODR0001","2004-02-24","37.8078","-109.0126","2023.9","DOVE CREEK 6.5 WNW, CO US","   94",",,N","  203",",,N","  305",",,N",,
"US1CODR0001","2004-02-25","37.8078","-109.0126","2023.9","DOVE CREEK 6.5 WNW, CO US","    8",",,N","   25",",,N","  254",",,N",,
"US1CODR0001","2004-02-26","37.8078","-109.0126","2023.9","DOVE CREEK 6.5 WNW, CO US","   10",",,N","   25",",,N","  127",",,N",,
"US1CODR0001","2004-02-27","37.8078","-109.0126","2023.9","DOVE CREEK 6.5 WNW, CO US","  119",",,N","  102",",,N","  102",",,N",,
"US1CODR0001","2004-03-01","37.8078","-109.0126","2023.9","DOVE CREEK 6.5 WNW, CO US","    5",",,N","   25",",,N","  102",",,N",,
"US1CODR0001","2004-03-02","37.8078","-109.0126","2023.9","DOVE CREEK 6.5 WNW, CO US","   28",",,N","   76",",,N","  127",",,N",,
"US1CODR0001","2004-03-03","37.8078","-109.0126","2023.9","DOVE CREEK 6.5 WNW, CO US","    3",",,N","   13",",,N","   76",",,N",,
