"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00184485","1936-07-01","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","T,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-02","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","   38",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-03","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","   46",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-04","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","T,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-05","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","T,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-06","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-07","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-08","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-09","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-10","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-11","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","   25",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-12","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","T,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-13","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","T,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-14","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-15","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-16","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-17","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-18","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-19","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-20","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","  152",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-21","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","T,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-22","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","T,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-23","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-24","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","  211",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-25","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-26","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","   25",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-27","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","  107",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-28","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","  152",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-29","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-30","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","  178",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-07-31","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-08-01","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-08-02","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-08-03","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-08-04","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-08-05","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-08-06","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","   18",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-08-07","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","   18",",,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-08-08","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-08-09","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
"USC00184485","1936-08-10","38.61667","-76.61667","49.1","HUNTINGTOWN, MD US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,
