"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00040539","2002-03-01","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,","    0","P,,0","  229",",,0","  150",",,0","  -50",",,0",,,,,"   44",",,0,",,,,,,,,,,
"USC00040539","2002-03-02","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,","    0","P,,0","  229",",,0","   61",",,0","  -61",",,0",,,,,"   33",",,0,",,,,,,,,,,
"USC00040539","2002-03-03","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,","    0","P,,0","  178",",,0","  100",",,0","  -61",",,0",,,,,"   39",",,0,",,,,,,,,,,
"USC00040539","2002-03-04","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,","    0","P,,0","  152",",,0","  133",",,0","  -78",",,0",,,,,"   44",",,0,",,,,,,,,,,
"USC00040539","2002-03-05","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,","    0","P,,0","  152",",,0","  133",",,0","  -50",",,0",,,,,"   61",",,0,",,,,,,,,,,
"USC00040539","2002-03-06","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","  470",",,0,","   25",",,0","  152",",,0","  128",",,0","  -33",",,0",,,,,"   39",",,0,",,,,,,,,,,
"USC00040539","2002-03-07","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","  279",",,0,","  254",",,0","  254",",,0","   39",",,0","  -33",",,0",,,,,"  -28",",,0,",,,,,,,,,,
"USC00040539","2002-03-08","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","   46",",,0,","   51",",,0","  254",",,0","   67",",,0"," -111",",,0",,,,,"    6",",,0,",,,,,,,,,,
"USC00040539","2002-03-09","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,","    0","P,,0","  203",",,0","   61",",,0","  -72",",,0",,,,,"   33",",,0,",,,,,,,,,,
"USC00040539","2002-03-10","39.6175","-120.59222","1663.3","BASSETS STATION, CA US",,,"  381",",,0","  483",",,0","   28",",,0","  -17",",,0",,,,,"   17",",,0,",,,,,,,,,,
"USC00040539","2002-03-11","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,","    0","P,,0",,,"  111",",,0","  -28",",,0",,,,,"   44",",,0,",,,,,,,,,,
"USC00040539","2002-03-12","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,","    0","P,,0","  305",",,0","   67",",,0","    6",",,0",,,,,"   39",",,0,",,,,,,,,,,
"USC00040539","2002-03-13","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","   13",",,0,","    0","P,,0","  229",",,0","   72",",,0","  -17",",,0",,,,,"   22",",,0,",,,,,,,,,,
"USC00040539","2002-03-14","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,1700","    0","P,,0","  178",",,0","   28",",,0","  -50",",,0",,,,,"  -17",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-15","39.6175","-120.59222","1663.3","BASSETS STATION, CA US",,,"   89",",,0","  279",",,0","   28",",,0","  -72",",,0",,,,,"  -17",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-16","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","   91",",,0,1700","  127",",,0","  330",",,0","   17",",,0"," -122",",,0",,,,,"  -39",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-17","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","   71",",,0,1700","   76",",,0","  381",",,0","  -22",",,0","  -67",",,0",,,,,"  -44",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-18","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","   43",",,0,1700","   51",",,0","  381",",,0","    6",",,0"," -106",",,0",,,,,"  -33",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-19","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,1700","    0","P,,0",,,"   67",",,0","  -61",",,0",,,,,"  -11",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-20","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,1700","    0","P,,0","  330",",,0","  167",",,0","  -89",",,0",,,,,"   61",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-21","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,1700","    0","P,,0","  279",",,0","  167",",,0","  -33",",,0",,,,,"   83",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-22","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,1700","    0","P,,0","  203",",,0","  183",",,0","  -22",",,0",,,,,"   61",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-23","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,1700","    0","P,,0","  152",",,0","  111",",,0","  -22",",,0",,,,,"   56",",I,0,1700",,,,,,,,,,
"USC00040539","2002-03-24","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","  478",",,0,1700","  305",",,0","  330",",,0","   28",",I,0","  -11",",,0",,,,,"    6",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-25","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,1700","    0","P,,0",,,"   72",",,0","  -11",",,0",,,,,"   39",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-26","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,1700","    0","P,,0","  152",",,0","  106",",,0","  -44",",,0",,,,,"   28",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-27","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,1700","    0","P,,0","  102",",,0","  139",",,0","  -33",",,0",,,,,"  128",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-28","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,1700","    0","P,,0","   76",",,0","  178",",,0","  -39",",,0",,,,,"  161",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-29","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,1700","    0","P,,0","   76",",,0","  178",",,0","   -6",",,0",,,,,"  161",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-30","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,1700","    0","P,,0",,,"  217",",,0","  -17",",,0",,,,,"  183",",,0,1700",,,,,,,,,,
"USC00040539","2002-03-31","39.6175","-120.59222","1663.3","BASSETS STATION, CA US","    0","P,,0,1700","    0","P,,0",,,"  228",",,0","  -11",",,0",,,,,"  200",",,0,1700",,,,,,,,,,
