"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1TNWL0020","2007-07-26","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","  124",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-07-27","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-07-28","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    3",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-07-29","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-07-30","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-07-31","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-08-01","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-08-02","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-08-03","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-08-04","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-08-05","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-08-06","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0","T,,N","    0",",,N",,,,,,
"US1TNWL0020","2007-08-07","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-08-08","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-08-09","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-08-10","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-08-11","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
"US1TNWL0020","2007-08-12","35.956239","-86.755571","256.0","BRENTWOOD 3.3 SSE, TN US","    0",",,N","    0",",,N",,,,,,
