"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1NYNS0016","2016-03-14","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","  155",",,N",,,,,,,,
"US1NYNS0016","2016-03-16","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","    0",",,N","    0",",,N",,,,,,
"US1NYNS0016","2016-03-17","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","    8",",,N",,,,,,,,
"US1NYNS0016","2016-03-21","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","   15",",,N","   30",",,N","   30",",,N","   15",",,N","   15",",,N"
"US1NYNS0016","2016-03-22","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","    0",",,N","    0",",,N",,,,,,
"US1NYNS0016","2016-03-23","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","    0",",,N","    0",",,N",,,,,,
"US1NYNS0016","2016-03-25","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","    3",",,N",,,,,,,,
"US1NYNS0016","2016-03-28","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","  102",",,N",,,,,,,,
"US1NYNS0016","2016-04-01","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","   10",",,N",,,,,,,,
"US1NYNS0016","2016-04-02","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","  104",",,N",,,,,,,,
"US1NYNS0016","2016-04-04","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","   25",",,N","    0","T,,N",,,,,,
"US1NYNS0016","2016-04-05","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","   76",",,N","    0","T,,N",,,,,,
"US1NYNS0016","2016-04-06","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","    0","T,,N","    0","T,,N",,,,,,
"US1NYNS0016","2016-04-07","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","    0",",,N","    0",",,N",,,,,,
"US1NYNS0016","2016-04-09","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","    0","T,,N",,,,,,,,
"US1NYNS0016","2016-04-11","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","    0","T,,N",,,,,,,,
"US1NYNS0016","2016-04-12","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","    3",",,N",,,,,,,,
"US1NYNS0016","2016-04-13","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","   56",",,N",,,,,,,,
"US1NYNS0016","2016-04-15","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","    0",",,N",,,,,,,,
"US1NYNS0016","2016-04-17","40.655156","-73.475584","2.4","MASSAPEQUA 0.9 SSW, NY US","    0",",,N",,,,,,,,
