"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES"
"US10lanc025","2007-08-08","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","  234",",,N","    0",",,N",,
"US10lanc025","2007-08-09","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","  203",",,N","    0",",,N",,
"US10lanc025","2007-08-11","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-08-12","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-08-13","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","   30",",,N","    0",",,N",,
"US10lanc025","2007-08-14","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-08-15","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-08-16","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","   33",",,N","    0",",,N",,
"US10lanc025","2007-08-17","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    8",",,N","    0",",,N",,
"US10lanc025","2007-08-18","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","   36",",,N","    0",",,N",,
"US10lanc025","2007-08-19","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-08-20","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-08-21","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","  137",",,N","    0",",,N",,
"US10lanc025","2007-08-22","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-08-23","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","  224",",,N","    0",",,N",,
"US10lanc025","2007-08-24","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","  165",",,N","    0",",,N",,
"US10lanc025","2007-08-25","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    5",",,N","    0",",,N",,
"US10lanc025","2007-08-26","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0","T,,N","    0",",,N",,
"US10lanc025","2007-08-27","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-08-28","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-08-29","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","  279",",,N","    0",",,N",,
"US10lanc025","2007-08-30","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0","T,,N","    0",",,N",,
"US10lanc025","2007-08-31","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-01","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-02","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-03","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-04","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-05","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-06","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-07","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-08","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-09","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-10","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0","T,,N","    0",",,N",,
"US10lanc025","2007-09-11","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","   74",",,N","    0",",,N",,
"US10lanc025","2007-09-12","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-13","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-14","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-15","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-16","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-17","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-18","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","  137",",,N","    0",",,N",,
"US10lanc025","2007-09-19","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","  320",",,N","    0",",,N",,
"US10lanc025","2007-09-20","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-21","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-22","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-23","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-24","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-25","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","  417",",,N","    0",",,N",,
"US10lanc025","2007-09-26","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0","T,,N","    0",",,N",,
"US10lanc025","2007-09-27","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-28","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-09-29","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    3",",,N","    0",",,N",,
"US10lanc025","2007-09-30","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-10-01","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-10-02","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","   38",",,N","    0",",,N",,
"US10lanc025","2007-10-03","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","  221",",,N","    0",",,N",,
"US10lanc025","2007-10-04","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-10-05","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","  185",",,N","    0",",,N",,
"US10lanc025","2007-10-06","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-10-07","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-10-08","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","  401",",,N","    0",",,N",,
"US10lanc025","2007-10-09","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-10-10","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-10-11","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-10-12","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","    0",",,N","    0",",,N",,
"US10lanc025","2007-10-13","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","  224",",,N","    0",",,N",,
"US10lanc025","2007-10-14","40.86","-96.69","360.0","LINCOLN 4.3 NNW, NE US","   71",",,N","    0",",,N",,
