"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US1FLBV0092","2018-04-01","28.20448","-80.60123","4.6","SATELLITE BEACH 2.0 N, FL US","   46",",,N",,,,,,,,,,
"US1FLBV0092","2018-04-02","28.20448","-80.60123","4.6","SATELLITE BEACH 2.0 N, FL US","    0",",,N","    0",",,N",,,,,,,,
"US1FLBV0092","2018-04-03","28.20448","-80.60123","4.6","SATELLITE BEACH 2.0 N, FL US","    0",",,N","    0",",,N",,,,,,,,
"US1FLBV0092","2018-04-04","28.20448","-80.60123","4.6","SATELLITE BEACH 2.0 N, FL US","    0",",,N","    0",",,N",,,,,,,,
"US1FLBV0092","2018-04-05","28.20448","-80.60123","4.6","SATELLITE BEACH 2.0 N, FL US","    0","T,,N",,,,,,,,,,
"US1FLBV0092","2018-04-06","28.20448","-80.60123","4.6","SATELLITE BEACH 2.0 N, FL US","    0",",,N","    0",",,N",,,,,,,,
"US1FLBV0092","2018-04-07","28.20448","-80.60123","4.6","SATELLITE BEACH 2.0 N, FL US","    0",",,N","    0",",,N",,,,,,,,
"US1FLBV0092","2018-04-08","28.20448","-80.60123","4.6","SATELLITE BEACH 2.0 N, FL US","    8",",,N",,,,,,,,,,
"US1FLBV0092","2018-04-09","28.20448","-80.60123","4.6","SATELLITE BEACH 2.0 N, FL US","    0","T,,N",,,,,,,,,,
"US1FLBV0092","2018-04-10","28.20448","-80.60123","4.6","SATELLITE BEACH 2.0 N, FL US","   71",",,N",,,,,,,,,,
"US1FLBV0092","2018-04-11","28.20448","-80.60123","4.6","SATELLITE BEACH 2.0 N, FL US","  185",",,N",,,,,,,,,,
"US1FLBV0092","2018-04-12","28.20448","-80.60123","4.6","SATELLITE BEACH 2.0 N, FL US","   23",",,N",,,,,,,,,,
"US1FLBV0092","2018-04-13","28.20448","-80.60123","4.6","SATELLITE BEACH 2.0 N, FL US","    0",",,N","    0",",,N",,,,,,,,
