component_id,component_type,specific_type,voltage,age,capacity,location_x,location_y,degree,from,to,length_km,centrality,age_factor,vulnerability
node_0,node,bus,230.0,7.800932022121826,,-89.08049094817781,42.56785460347372,4.0,,,,0.02847607174395394,0.15606270111199905,0.06675206055436747
node_1,node,bus,4.16,35.40362888980228,,-88.93309929540747,45.788227498598445,1.0,,,,0.0,0.708272542055368,0.21248176261661042
node_2,node,bus,230.0,9.091248360355031,,-112.25965335930343,44.97862337921012,2.0,,,,0.006384269462810839,0.1818763157496569,0.05903188334886465
node_3,node,bus,13.2,14.561457009902096,,-99.08329888147306,37.59415435917371,3.0,,,,0.02307208530911196,0.2913113851841337,0.10354387527161849
node_4,node,bus,4.16,22.803499210851797,,-103.0182894023785,32.01147156484524,3.0,,,,0.025784003799431576,0.4561987813198372,0.15490843705555327
node_5,node,load,4.16,2.3225206359998865,30.76969774317048,-89.45512586827745,37.34162652192668,2.0,,,,0.012916861461742247,0.04646353061591129,0.022980862207992957
node_6,node,bus,4.16,40.419867405823055,,-67.06207801552644,47.77325289408,2.0,,,,0.003910650281618025,0.8086256447374904,0.24532514861837973
node_7,node,bus,4.16,6.101911742238942,,-98.59085037562392,41.42159263629176,4.0,,,,0.09101948321794046,0.12207269922880527,0.1003354480211999
node_8,node,bus,0.48,33.1261142176991,,-109.47320110399899,46.82368964989077,6.0,,,,0.061559325304065826,0.6627093849168759,0.24190434318790885
node_9,node,bus,69.0,48.47923138822793,,-113.90873266846837,38.12104670423871,3.0,,,,0.023928627084307312,0.9698584447121728,0.30770757237266694
node_10,node,load,138.0,46.093711751155844,5.3361326005440555,-89.1260012713349,46.475856410263575,2.0,,,,0.016114097968936678,0.9221345782483391,0.2879202420527574
node_11,node,bus,0.48,13.567451588694796,,-101.67936261863107,32.80792793831834,4.0,,,,0.02119648700995125,0.2714256624892464,0.09626523965373979
node_12,node,load,13.2,7.046211248738132,40.307652056947944,-92.43823501050508,31.74242823249714,3.0,,,,0.026009687808425542,0.14096402288411733,0.06049598833113308
node_13,node,bus,230.0,0.27610585618011996,,-113.07705910794965,43.53387446311978,4.0,,,,0.05753727079112773,0.005523676605066785,0.04193319253530944
node_14,node,load,69.0,3.7022325867045183,18.564820698669358,-78.72377919884326,42.496172032983694,5.0,,,,0.045660707792545094,0.07406556242093956,0.05418216418106343
node_15,node,bus,138.0,3.177917514301182,,-105.14611850884106,39.95915504386139,2.0,,,,0.003007635966962755,0.06357629957376228,0.02117823504900261
node_16,node,bus,13.2,44.36063712881633,,-86.74655171868721,42.51054828011354,1.0,,,,0.0,0.8874632971726971,0.2662389891518091
node_17,node,bus,4.16,28.063859878474812,,-79.35289708298615,42.11787489335188,3.0,,,,0.017590459122717186,0.5614357058673828,0.18074403314611684
node_18,node,load,13.2,1.2709563372047594,6.286679922671918,-99.34753889848702,37.54558790516786,1.0,,,,0.0,0.025426305269307715,0.007627891580792314
node_19,node,bus,69.0,45.37832369630465,,-94.48575853011783,32.54454354583184,3.0,,,,0.05759107133581186,0.9078227765473714,0.3126605828992797
node_20,node,bus,13.2,3.8489954914396494,,-111.27211007050265,43.13322732503317,6.0,,,,0.11811111853187592,0.07700164945144514,0.10577827780774668
node_21,node,bus,4.16,31.67018782552117,,-76.51277722613499,47.312743656221755,2.0,,,,0.014348048709900044,0.6335826338133927,0.20011842424094783
node_22,node,load,138.0,26.967112095782536,40.564567603039066,-71.44646009060133,29.47768141326486,1.0,,,,0.0,0.5394945556406953,0.16184836669220856
node_24,node,load,13.2,21.355389431312815,41.08272353020216,-111.3238902474835,27.64124618866424,2.0,,,,0.005578930964625216,0.42722840661836853,0.13207377366074818
node_25,node,load,0.48,11.105390523536512,6.873402999350457,-99.95533981107326,37.257935261861576,3.0,,,,0.030247779336138387,0.22217053514783713,0.08782460607964801
node_26,node,bus,138.0,35.15094794475889,,-93.87256269539803,32.75687036849813,1.0,,,,0.0,0.7032174959799533,0.21096524879398598
node_27,node,bus,230.0,24.86242529461927,,-109.89306225047815,48.09873507861067,6.0,,,,0.10729164347677672,0.4973889320750932,0.22432083005627168
node_28,node,bus,13.2,25.133951161443076,,-88.42613996120619,25.88528673650879,5.0,,,,0.039791717684424556,0.5028209830246635,0.17870049728649623
node_29,node,bus,13.2,7.244743604561155,,-110.62628655998165,46.79838126319969,6.0,,,,0.11930910824669591,0.1449357913369133,0.1269971131737611
node_30,node,bus,230.0,38.08098076643588,,-84.67186715564728,30.80932651627601,3.0,,,,0.07449668662852393,0.7618347016165367,0.2806980911249277
node_31,node,bus,69.0,31.676485538044734,,-87.06165016438524,33.82679518526208,6.0,,,,0.11517676261715531,0.633708623634156,0.2707363209222555
node_32,node,bus,4.16,9.325925519992712,,-105.75319610169585,45.04725989414171,1.0,,,,0.0,0.18657118442925688,0.05597135532877706
node_33,node,bus,69.0,25.60465291496405,,-124.00473026432863,41.261544684214776,5.0,,,,0.07442897214986977,0.512237676679258,0.20577158350868624
node_34,node,bus,69.0,19.33676731502687,,-83.54373571385204,29.184794296119794,4.0,,,,0.030952380952380953,0.38684456285474644,0.1377200355230906
node_35,node,generator,4.16,46.23468091392814,439.8962831566807,-118.19158872556466,33.1855924252062,5.0,,,,0.09276521813338083,0.9249547577157866,0.3424220800081026
node_37,node,bus,69.0,26.482528917800323,,-91.68795130403225,44.613332804829184,3.0,,,,0.024708456703547873,0.5298001550928013,0.1762359662203239
node_38,node,bus,4.16,31.655072863663396,,-70.97491657020018,46.53317819087984,1.0,,,,0.0,0.6332802492049844,0.18998407476149531
