fips,state,county,start_time,duration,label
4003,Arizona,Cochise,2015-09-06 05:00:00,0.0,0
4003,Arizona,Cochise,2017-03-25 07:00:00,0.0,0
4003,Arizona,Cochise,2018-07-06 09:00:00,0.0,0
4003,Arizona,Cochise,2023-11-23 06:00:00,0.0,0
4003,Arizona,Cochise,2018-09-27 21:00:00,0.0,0
4003,Arizona,Cochise,2018-03-15 16:00:00,0.0,0
4003,Arizona,Cochise,2016-07-13 13:00:00,0.0,0
4003,Arizona,Cochise,2021-02-23 06:00:00,0.0,0
4003,Arizona,Cochise,2020-05-14 16:00:00,0.0,0
4003,Arizona,Cochise,2015-06-15 08:00:00,0.0,0
4005,Arizona,Coconino,2023-04-24 15:00:00,0.0,0
4005,Arizona,Coconino,2023-03-13 19:00:00,0.0,0
4005,Arizona,Coconino,2017-09-01 23:00:00,0.0,0
4005,Arizona,Coconino,2022-07-30 11:00:00,0.0,0
4005,Arizona,Coconino,2021-10-15 18:00:00,0.0,0
4005,Arizona,Coconino,2023-07-22 16:00:00,0.0,0
4005,Arizona,Coconino,2019-03-01 23:00:00,0.0,0
4005,Arizona,Coconino,2020-10-18 14:00:00,0.0,0
4005,Arizona,Coconino,2018-04-30 07:00:00,0.0,0
4005,Arizona,Coconino,2014-11-18 22:00:00,0.0,0
4007,Arizona,Gila,2015-09-06 05:00:00,0.0,0
4007,Arizona,Gila,2022-02-06 01:00:00,0.0,0
4007,Arizona,Gila,2022-05-03 11:00:00,0.0,0
4007,Arizona,Gila,2023-11-23 06:00:00,0.0,0
4007,Arizona,Gila,2018-09-23 19:00:00,0.0,0
4007,Arizona,Gila,2021-04-14 05:00:00,0.0,0
4007,Arizona,Gila,2016-07-13 13:00:00,0.0,0
4007,Arizona,Gila,2018-04-14 11:00:00,0.0,0
4007,Arizona,Gila,2018-11-09 08:00:00,0.0,0
4007,Arizona,Gila,2015-06-15 08:00:00,0.0,0
4013,Arizona,Maricopa,2019-01-08 11:00:00,0.0,0
4013,Arizona,Maricopa,2023-03-08 19:00:00,0.0,0
4013,Arizona,Maricopa,2018-05-18 11:00:00,0.0,0
4013,Arizona,Maricopa,2021-11-29 23:00:00,0.0,0
4013,Arizona,Maricopa,2019-01-08 03:00:00,0.0,0
4013,Arizona,Maricopa,2022-02-02 15:00:00,0.0,0
4013,Arizona,Maricopa,2021-06-15 02:00:00,0.0,0
4013,Arizona,Maricopa,2014-03-03 16:00:00,0.0,0
4013,Arizona,Maricopa,2015-01-10 15:00:00,0.0,0
4013,Arizona,Maricopa,2014-06-04 19:00:00,0.0,0
4015,Arizona,Mohave,2023-04-24 15:00:00,0.0,0
4015,Arizona,Mohave,2023-03-13 19:00:00,0.0,0
4015,Arizona,Mohave,2017-09-01 23:00:00,0.0,0
4015,Arizona,Mohave,2023-10-21 06:00:00,0.0,0
4015,Arizona,Mohave,2022-06-10 17:00:00,0.0,0
4015,Arizona,Mohave,2023-07-22 16:00:00,0.0,0
4015,Arizona,Mohave,2019-03-01 23:00:00,0.0,0
4015,Arizona,Mohave,2020-10-18 15:00:00,0.0,0
4015,Arizona,Mohave,2018-04-30 07:00:00,0.0,0
4015,Arizona,Mohave,2014-11-18 22:00:00,0.0,0
4017,Arizona,Navajo,2021-12-15 10:00:00,0.0,0
4017,Arizona,Navajo,2014-06-24 17:00:00,0.0,0
4017,Arizona,Navajo,2017-08-28 11:00:00,0.0,0
4017,Arizona,Navajo,2016-12-10 21:00:00,0.0,0
4017,Arizona,Navajo,2021-01-24 12:00:00,0.0,0
4017,Arizona,Navajo,2018-11-08 16:00:00,0.0,0
4017,Arizona,Navajo,2016-10-01 16:00:00,0.0,0
4017,Arizona,Navajo,2023-12-10 07:00:00,0.0,0
4017,Arizona,Navajo,2016-03-02 11:00:00,0.0,0
4017,Arizona,Navajo,2023-06-25 23:00:00,0.0,0
4019,Arizona,Pima,2023-10-20 23:00:00,0.0,0
4019,Arizona,Pima,2014-12-21 05:00:00,0.0,0
4019,Arizona,Pima,2022-02-02 10:00:00,0.0,0
4019,Arizona,Pima,2015-08-11 21:00:00,0.0,0
4019,Arizona,Pima,2021-06-26 02:00:00,0.0,0
4019,Arizona,Pima,2021-03-25 12:00:00,0.0,0
4019,Arizona,Pima,2018-10-08 06:00:00,0.0,0
4019,Arizona,Pima,2023-12-28 02:00:00,0.0,0
4019,Arizona,Pima,2016-05-07 06:00:00,0.0,0
4019,Arizona,Pima,2018-01-27 07:00:00,0.0,0
4021,Arizona,Pinal,2015-09-06 05:00:00,0.0,0
4021,Arizona,Pinal,2022-02-06 01:00:00,0.0,0
4021,Arizona,Pinal,2022-05-03 11:00:00,0.0,0
4021,Arizona,Pinal,2023-11-23 06:00:00,0.0,0
4021,Arizona,Pinal,2018-09-23 19:00:00,0.0,0
4021,Arizona,Pinal,2021-04-14 05:00:00,0.0,0
4021,Arizona,Pinal,2016-07-13 13:00:00,0.0,0
4021,Arizona,Pinal,2018-04-14 11:00:00,0.0,0
4021,Arizona,Pinal,2018-11-09 08:00:00,0.0,0
4021,Arizona,Pinal,2015-06-15 08:00:00,0.0,0
4023,Arizona,Santa Cruz,2021-12-15 10:00:00,0.0,0
4023,Arizona,Santa Cruz,2014-06-24 17:00:00,0.0,0
4023,Arizona,Santa Cruz,2017-08-28 11:00:00,0.0,0
4023,Arizona,Santa Cruz,2016-12-10 21:00:00,0.0,0
4023,Arizona,Santa Cruz,2021-01-24 12:00:00,0.0,0
4023,Arizona,Santa Cruz,2018-11-08 16:00:00,0.0,0
4023,Arizona,Santa Cruz,2016-10-01 16:00:00,0.0,0
4023,Arizona,Santa Cruz,2023-12-10 07:00:00,0.0,0
4023,Arizona,Santa Cruz,2016-03-02 11:00:00,0.0,0
4023,Arizona,Santa Cruz,2023-06-25 23:00:00,0.0,0
4025,Arizona,Yavapai,2023-08-09 02:00:00,0.0,0
4025,Arizona,Yavapai,2014-12-21 05:00:00,0.0,0
4025,Arizona,Yavapai,2022-02-02 11:00:00,0.0,0
4025,Arizona,Yavapai,2015-08-11 21:00:00,0.0,0
4025,Arizona,Yavapai,2021-06-26 01:00:00,0.0,0
4025,Arizona,Yavapai,2021-03-25 11:00:00,0.0,0
4025,Arizona,Yavapai,2018-10-08 06:00:00,0.0,0
4025,Arizona,Yavapai,2019-07-05 20:00:00,0.0,0
4025,Arizona,Yavapai,2016-05-07 06:00:00,0.0,0
4025,Arizona,Yavapai,2018-01-27 07:00:00,0.0,0
4027,Arizona,Yuma,2015-09-06 05:00:00,0.0,0
4027,Arizona,Yuma,2022-02-06 01:00:00,0.0,0
4027,Arizona,Yuma,2022-05-03 11:00:00,0.0,0
4027,Arizona,Yuma,2023-11-23 06:00:00,0.0,0
4027,Arizona,Yuma,2018-09-27 20:00:00,0.0,0
4027,Arizona,Yuma,2021-04-14 05:00:00,0.0,0
4027,Arizona,Yuma,2016-07-13 13:00:00,0.0,0
4027,Arizona,Yuma,2018-04-14 11:00:00,0.0,0
4027,Arizona,Yuma,2018-11-13 09:00:00,0.0,0
4027,Arizona,Yuma,2015-06-15 08:00:00,0.0,0
5001,Arkansas,Arkansas,2019-09-23 12:00:00,0.0,0
5001,Arkansas,Arkansas,2017-04-11 06:00:00,0.0,0
5001,Arkansas,Arkansas,2019-02-12 05:00:00,0.0,0
5001,Arkansas,Arkansas,2017-04-17 20:00:00,0.0,0
5001,Arkansas,Arkansas,2018-12-06 16:00:00,0.0,0
5001,Arkansas,Arkansas,2016-08-31 16:00:00,0.0,0
5001,Arkansas,Arkansas,2020-10-07 03:00:00,0.0,0
5001,Arkansas,Arkansas,2017-09-01 06:00:00,0.0,0
